doc_id,gold_participants,gold_interventions,gold_outcomes,pred_participants,pred_interventions,pred_outcomes,approach
12093460,"METHODS In a randomized , double-blind , placebo-controlled pilot study in an academic medical center-based infectious disease clinic , 11 clinically stable , HIV-infected adults had been treated with highly active , antiretroviral therapy and had HIV plasma RNA levels of less than 10 000 copies/mL .",A pilot study of the safety and efficacy of supplemental arginine to enhance immune function in persons with HIV/AIDS . OBJECTIVE We collected preliminary data on the safety and efficacy of supplemental arginine to improve natural killer cell cytotoxicity in a sample of persons with human immunodeficiency virus ( HIV ) and acquired immunodeficiency syndrome ( AIDS ) . CONCLUSIONS Short-term arginine supplementation is safe for persons with HIV/AIDS .,"Participants were randomly assigned to receive 19.6 g of arginine/d ( n = 6 ) or placebo ( n = 5 ) for 14 d. Plasma HIV RNA levels , neuropsychologic functioning , and self-reported adverse events were analyzed for safety of treatment . Efficacy was measured by natural killer cell cytotoxicity . RESULTS None of the participants experienced any adverse clinical , virologic , or neuropsychologic events that necessitated withdrawal from the study . The arginine-supplemented group showed a mean natural killer cell cytotoxicity increase of 18.9 lytic units , whereas the placebo group showed an increase of 0.3 lytic units .",HIV-infected adults,Arginine (supplemental) and Placebo,"Natural Killer Cell Cytotoxicity, Adverse Events, Neuropsychologic Functioning, HIV RNA Levels, Intercurrent Illnesses",zero_shot_qwen
12085177,"Marimastat as maintenance therapy for patients with advanced gastric cancer : a randomised trial . This randomised , double-blind , placebo-controlled study was designed to evaluate the ability of the orally administered matrix metalloproteinase inhibitor , marimastat , to prolong survival in patients with non-resectable gastric and gastro-oesophageal adenocarcinoma . Three hundred and sixty-nine patients with histological proof of adenocarcinoma , who had received no more than a single regimen of 5-fluorouracil-based chemotherapy , were randomised to receive either marimastat ( 10 mg b.d .",") or placebo . At the point of protocol-defined study completion ( 85 % mortality in the placebo arm ) there was a modest difference in survival in the intention-to-treat population in favour of marimastat ( P=0.07 log-rank test , hazard ratio=1.23 ( 95 % confidence interval 0.98-1.55 ) ) . The median survival was 138 days for placebo and 160 days for marimastat , with 2-year survival of 3 % and 9 % respectively . A further randomised study of marimastat in these patients is warranted .","The primary endpoint was overall survival with secondary endpoints of time to disease progression and quality of life . This survival benefit was maintained over a further 2 years of follow-up ( P=0.024 , hazard ratio=1.27 ( 1.03-1.57 ) ) . A significant survival benefit was identified at study completion in the pre-defined sub-group of 123 patients who had received prior chemotherapy ( P=0.045 , hazard ratio=1.53 ( 1.00-2.34 ) ) . This benefit increased with 2 years additional follow-up ( P=0.006 , hazard ratio=1.68 ( 1.16-2.44 ) ) , with 2-year survival of 5 % and 18 % respectively . Progression-free survival was also significantly longer for patients receiving marimastat compared to placebo ( P=0.009 , hazard ratio=1.32 ( 1.07-1.63 ) ) . Marimastat treatment was associated with the development of musculoskeletal pain and inflammation . Events of anaemia , abdominal pain , jaundice and weight loss were more common in the placebo arm .",Patients with advanced gastric cancer who have received no more than a single regimen of 5-fluorouracil-based chemotherapy,Marimastat (10 mg b.d.) vs Placebo,"Overall Survival, Time to Disease Progression, Quality of Life, Median Survival, 2-Year Survival Rate, Progression-Free Survival, Musculoskeletal Pain and Inflammation, Anaemia, Abdominal Pain, Jaundice, Weight Loss",zero_shot_qwen
10643677,"SUBJECTS Twelve male , obese subjects ( age 36.3+/-5.1 y ; body weight 94.6+/-13.9 kg ; body mass index , BMI 30.8+/-3.0 kg/m2 ) and in an additional study 15 lean , well-trained subjects ( age 36.2+/-7.2 y ; body weight 72.2+/-5.9 kg ; BMI 22.3+/-1.7 kg/m2 ) participated .","OBJECTIVE To investigate the effect of exercise training and dietary macronutrient composition on 24 h substrate oxidation in male , obese subjects . DESIGN A 16 month exercise intervention study was executed , including a weight loss period with a very low energy diet ( VLED ) for 2 months at the start of the study . In the respiration chamber subjects were randomly assigned to a high-fat ( Hi.F ) diet ( 60 % of energy ( En % ) fat ) or a reduced-fat ( Red.F ) diet ( 30 En % fat ) .","The effect of body weight changes and endurance training on 24h substrate oxidation . MEASUREMENTS Substrate oxidation was measured during a standardized 36 h stay in the respiration chamber at the start of the study ( 0 months ) , and at 4 , 10 and 16 months . RESULTS At any time point , independent of the diet consumed , the 24 h carbohydrate ( CHO ) balances in the chamber were mostly negative ( means ranging from +31 to -98 g/d ) and the fat balances mostly positive ( means ranging from -26 to +38 g/d ) for the obese a well as for the lean , well-trained group . For both diets an increased shortage of 70 g of CHO was found at 16 months compared with 4 months , and an increase in fat balance of 33 g during the same time period in the obese subjects , indicating that CHO oxidation had increased with 12 months endurance training . In the well-trained group the 24h CHO balance was even more negative for both types of diet ( -103 to -185 g/d for the Red.F and Hi.F diet , respectively ) under similar conditions compared with the trained obese group . CONCLUSION The changes in 24 h substrate utilization in the obese , as well as in the well-trained group , suggest that endurance training increased the reliance on carbohydrate oxidation and therefore did not increase 24 fat oxidation .",,,,zero_shot_qwen
11034038,SUBJECTS Thirty nonbleeding patients with international normalized ratios ( INRs ) ranging from 6.0-10.0 . INTERVENTIONS Patients were randomized to receive either a single oral dose of phytonadione 2.5 mg or placebo .,STUDY OBJECTIVE To compare the efficacy of managing excessive anticoagulation in the absence of bleeding by either omitting warfarin therapy alone or administering oral phytonadione in addition to omitting warfarin therapy . Both groups omitted warfarin doses until the INR became less than or equal to 4.0 .,"Randomized , placebo-controlled trial of oral phytonadione for excessive anticoagulation . MEASUREMENTS AND RESULTS The mean calculated time to reach an INR of 4.0 was significantly greater in the placebo than the phytonadione group ( 2.6 vs 1.4 days , p=0.006 ) . Overcorrection of anticoagulation was significantly more common in patients receiving phytonadione . Overt warfarin resistance was not observed in either group after reinitiating warfarin therapy . No major bleeding or thromboembolic complications occurred , and minor bleeding episodes were similar in both groups . Oral phytonadione may be most appropriate for patients at high risk for bleeding in whom the benefit of prompt INR reduction would outweigh the thromboembolic risk associated with INR overcorrection .",Thirty nonbleeding patients with international normalized ratios (INRs) ranging from 6.0-10.0.,Patients were randomized to receive either a single oral dose of phytonadione 2.5 mg or placebo. Both groups omitted warfarin doses until the INR became less than or equal to 4.0.,"The mean calculated time to reach an INR of 4.0 was significantly greater in the placebo than the phytonadione group (2.6 vs 1.4 days, p=0.006). Overcorrection of anticoagulation was significantly more common in patients receiving phytonadione. Overt warfarin resistance was not observed in either group after reinitiating warfarin therapy. No major bleeding or thromboembolic complications occurred, and minor bleeding episodes were similar in both groups.",zero_shot_qwen
11379334,"METHODOLOGY One hundred and ninety-three ( 193 ) H. pylori-positive patients were randomly assigned to one of the following 7-day treatments : Group A ( N = 64 ) : amoxicillin , clarithromycin and rabeprazole ; Group B ( N = 64 ) : tinidazole , clarithromycin and ranitidine bismuth citrate ; Group C ( N = 65 ) : tinidazole , clarithromycin and rabeprazole Eradication was assessed by 13C-Urea Breath Test 6-8 weeks after the end of the therapy .","Unfortunately , H. pylori therapy may be troublesome for drug side effects and inefficacious for resistance to antibiotics . Not-eradicated patients underwent a second cycle with tinidazole , tetracycline , bismuth and rabeprazole . Among them , 86 % were successfully eradicated by the tinidazole , tetracycline , bismuth and rabeprazole therapy . CONCLUSIONS This study shows that triple rabeprazole-based eradicating regimens are effective and safe . Quadruple therapy , which appear highly efficacious as a second line therapy , is associated with a significantly higher incidence of side effects when compared to first-line treatment .","Efficacy and tolerability of antibiotics in patients undergoing H. pylori eradication . No significant difference in eradication rates was observed among the three groups both in intention to treat analysis and in per protocol analysis . No significant difference in incidence of side effects occurred among groups after the first-line regimens : 48 % in group A , 44 % in group B and 46 % in group C. Twenty-two out of the 193 enrolled subjects ( 11 % ) were not eradicated after the first-line therapy . Moreover , during quadruple therapy , a higher prevalence and intensity of side effects than in each one of the groups submitted to the first-line triple therapy was observed . Incidence of side effects seems low and similar in different three-drug regimens used .",H. pylori-positive patients,"Amoxicillin, clarithromycin, rabeprazole; Tinidazole, clarithromycin, ranitidine bismuth citrate; Tinidazole, clarithromycin, rabeprazole","Eradication rate, side effect occurrence, severity",zero_shot_qwen
12042231,BACKGROUND Little evidence exists to indicate whether community psychiatric nurses can achieve the results reported by expert cognitive-behavioural therapists in patients with schizophrenia .,Effectiveness of a brief cognitive-behavioural therapy intervention in the treatment of schizophrenia . AIMS To assess the effectiveness and safety of a brief cognitive-behavioural therapy ( CBT ) intervention in a representative community sample of patients with schizophrenia in secondary care settings . METHOD A pragmatic randomised trial was performed involving 422 patients and carers to compare a brief CBT intervention against treatment as usual . CONCLUSIONS Community psychiatric nurses can safely and effectively deliver a brief CBT intervention to patients with schizophrenia and their carers .,"RESULTS Patients who received CBT ( n=257 ) improved in overall symptomatology ( P=0.015 ; number needed to treat [ NNT ] =13 ) , insight ( P < 0.001 ; NNT=10 ) and depression ( P=0.003 ; NNT=9 ) compared with the control group ( n=165 ) . Insight was clinically significantly improved ( risk ratio=1.15 , 95 % CI 1.01-1.31 ) . There was no increase in suicidal ideation .",Patients with schizophrenia in secondary care settings.,Brief Cognitive-Behavioral Therapy (CBT) intervention vs Treatment as Usual (TAU),"Overall symptomatology, insight, depression, suicidal ideation  This abstract describes a randomized controlled trial evaluating the effectiveness of a brief cognitive-behavioral therapy (CBT) intervention for treating schizophrenia in secondary care settings. The primary outcome measures were improvements in overall symptomatology, insight into mental state, and depressive symptoms. The study found that participants receiving the CBT intervention showed significant reductions in these outcomes compared to those receiving standard treatment as usual. Additionally, there was no increase in suicidal ideation among those receiving the CBT intervention. These findings suggest that community psychiatric nurses can successfully implement a brief CBT program for managing schizophrenia in their practice.  The key elements are:  **Participants:** Patients with schizophrenia in secondary care settings. **Interventions:** Brief Cognitive-Behavioral",zero_shot_qwen
10517426,"PARTICIPANTS A total of 117 healthy adult volunteers ( aged 18-40 years ; median age , 21 years ) who were susceptible ( hemagglutination-inhibition antibody titer < or =1:8 ) . CONCLUSIONS In these trials , prophylaxis and early treatment with oral oseltamivir were both associated with significant antiviral and clinical effects in experimental human influenza .","Use of the oral neuraminidase inhibitor oseltamivir in experimental human influenza : randomized controlled trials for prevention and treatment . DESIGN Two randomized , double-blind , placebo-controlled trials conducted between June and July 1997 . INTERVENTIONS All subjects were inoculated intranasally with influenza A/Texas/36/91 ( H1N1 ) virus . For the prophylaxis study , oral oseltamivir ( 100 mg once daily [ n = 12 ] , 100 mg twice daily [ n = 12 ] , or matching placebo [ n = 13 ] , starting 26 hours before virus inoculation ) was administered . For the treatment study , the same drug was given ( 20 mg , 100 mg , or 200 mg twice daily , 200 mg once daily , or matching placebo [ n = 16 ] , in each group starting 28 hours after inoculation ) .","OBJECTIVE To determine the safety , tolerability , and antiviral activity of oral neuraminidase inhibitor oseltamivir ( GS4104/Ro64-0796 ) for prevention and the early treatment of influenza in experimentally infected humans . MAIN OUTCOME MEASURES Comparing placebo groups with pooled treatment groups , for prophylaxis , outcomes included frequency of infection and viral shedding ; for treatment , viral shedding in titers . RESULTS In the prophylaxis study , 8 ( 67 % ) of 12 placebo and 8 ( 38 % ) of 21 oseltamivir recipients became infected ( P = .16 ; efficacy , 61 % ) ; 6 ( 50 % ) placebo compared with 0 oseltamivir recipients shed virus ( P < .001 ; efficacy , 100 % ) , and 33 % of placebo but no oseltamivir recipient had infection-related respiratory illness ( P < .01 ) . Among infected subjects in the treatment study ( n = 69 ) , the viral titer area under the curve of the combined oseltamivir groups ( n = 56 ) was lower ( median [ interquartile range [ IQR ] ] , 80 [ 23-151 ] vs 273 [ 79-306 ] log10 tissue culture-infective doses50 per milliliter x hour ; P = .02 ) than the placebo group ( n = 13 ) , and the median ( IQR ) duration of viral shedding with therapy was reduced from 107 ( 83-131 ) to 58 ( 35-59 ) hours ( P = .003 ) . Oseltamivir treatment also reduced symptom scores ( median [ IQR ] score-hours , 225 [ 97-349 ] vs 400 [ 189-645 ] ; P = .05 ) , and nasal proinflammatory cytokine levels . Transient mild to moderate nausea after dosing was observed in 15 ( 17 % ) of 88 oseltamivir and 2 ( 7 % ) of 29 placebo recipients ( 95 % confidence interval for difference , -11 % to 68 % ) , which was largely prevented by ingestion with food .","Healthy adult volunteers aged 18-40 years, median age 21 years.","Oral oseltamivir (100 mg once daily, 100 mg twice daily, or matching placebo) for prophylaxis; 20 mg, 100 mg, or 200 mg twice daily, 200 mg once daily, or matching placebo for treatment.",Frequency of infection and viral shedding in prophylaxis study; viral titer area under the curve of oseltamivir groups versus placebo in treatment study.,zero_shot_qwen
11815321,"Marginal biotin deficiency during normal pregnancy . OBJECTIVE We tested the hypothesis that biotin supplementation significantly decreases 3-HIA excretion in pregnant women with abnormally increased 3-HIA excretion . DESIGN Twenty-six pregnant women with increased 3-HIA excretion were studied in a randomized , placebo-controlled trial ; 10 women were studied during early pregnancy ( 6-17 wk gestation ) and 16 women during late pregnancy ( 21-37 wk gestation ) .",Urine samples were collected before and after 14 d of supplementation with 300 microg ( 1.2 micromol ) biotin/d or placebo .,"Approximately 50 % of pregnant women have an abnormally increased urinary excretion of 3-hydroxyisovaleric acid ( 3-HIA ) , which probably reflects decreased activity of the biotin-dependent enzyme methylcrotonyl-CoA carboxylase . RESULTS In the early-pregnancy group , 3-HIA excretion decreased ( P < 0.006 ) by 11.7 +/- 3.6 mmol/mol creatinine ( mean +/- SEM ) in the 5 women who received biotin supplements , whereas 3-HIA excretion increased by 1.6 +/- 0.6 mmol/mol creatinine in the 5 women who received placebo . In the late-pregnancy group , 3-HIA excretion decreased ( P < 0.002 ) by 7.1 +/- 1.2 mmol/mol creatinine in the 8 women who received biotin supplements , whereas 3-HIA excretion increased by 0.9 +/- 1.8 mmol/mol creatinine in the 8 women who received placebo . CONCLUSIONS This study provides evidence that the increased excretion of 3-HIA seen frequently in normal pregnancy reflects reduced biotin status .",Pregnant women with abnormally increased 3-HIA excretion,Biotin supplementation (300 microg) vs. placebo,Decreased 3-HIA excretion in early pregnancy; Increased 3-HIA excretion in late pregnancy,zero_shot_qwen
11701672,GHD adults are frequently abdominally obese and display features of the metabolic syndrome . We investigated in healthy nonobese males the effect of the GH receptor antagonist pegvisomant in different metabolic conditions .,"Acute effect of pegvisomant on cardiovascular risk markers in healthy men : implications for the pathogenesis of atherosclerosis in GH deficiency . We compared the effect of pegvisomant with that of placebo before and after 3 d of fasting . In addition , we investigated the effect of pegvisomant under normal , i.e .","Three days of fasting as well as pegvisomant alone decreased serum free IGF-I levels ( 1.0 +/- 0.15 vs. 0.31 +/- 0.05 ng/ml and 0.86 +/- 0.23 vs. 0.46 +/- 0.23 ng/ml , respectively ) . Fasting in combination with pegvisomant also decreased serum free IGF-I levels ( 1.0 +/- 0.15 vs. 0.31 +/- 0.07 ng/ml ) . Treatment with pegvisomant had no additional influence on the decline of free IGF-I induced by fasting . Pegvisomant alone had no influence on insulin sensitivity . The increase in insulin sensitivity induced by fasting was comparable to the increase in insulin sensitivity induced by fasting combined with pegvisomant . Among serum lipid concentrations , only serum triglycerides increased significantly as a result of pegvisomant alone ( 1.0 +/- 0.2 vs. 1.6 +/- 0.4 mmol/liter ) . The changes in lipid concentrations induced by fasting alone or pegvisomant were not different from those induced by pegvisomant alone . von Willebrand factor antigen levels declined significantly under the influence of pegvisomant alone ( 1.1 +/- 0.07 vs. 0.8 +/- 0.06 U/ml ) . In conclusion , in different metabolic conditions the GH receptor antagonist pegvisomant induces no significant acute changes in the major risk markers for cardiovascular disease . abdominal obesity or inflammatory factors , that develop as a result of long-standing GHD are of primary importance in the pathogenesis of atherosclerosis in patients with GHD .",Healthy non-obese male participants,"Pegvisomant, Placebo, Fasting","Serum Free IGF-I Levels, Insulin Sensitivity, Lipid Concentrations, Von Willebrand Factor Antigen Levels  This abstract describes a clinical trial investigating the acute effect of the GH receptor antagonist pegvisomant on cardiovascular risk markers in healthy non-obese males. The study compares the effect of pegvisomant with that of placebo before and after 3 days of fasting, as well as under normal conditions. The key outcomes include changes in serum free IGF-I levels, insulin sensitivity, lipid concentrations, and von Willebrand factor antigen levels. The researchers found that pegvisomant did not induce any significant acute changes in these risk markers, suggesting that the secondary metabolic changes associated with long-standing GH deficiency may be more important in the pathogenesis of atherosclerosis than the direct effects of the hormone itself.  The study provides valuable",zero_shot_qwen
10997806,"Paclitaxel ( 175 mg/m2 ) plus carboplatin ( 6 AUC ) versus paclitaxel ( 225 mg/m2 ) plus carboplatin ( 6 AUC ) in advanced non-small-cell lung cancer ( NSCLC ) : a multicenter randomized trial . PATIENTS AND METHODS Since July 1996 , 198 patients with non-operable NSCLC and measurable disease without previous chemotherapy entered the trial .","PURPOSE The combination of paclitaxel and carboplatin has become a widely used regimen in NSCLC due to phase II reports of moderate toxicity , reasonable activity and easy outpatient administration . Ninety nine patients ( group A ) were randomized to receive paclitaxel 175 mg/m2 in three-hour infusion plus carboplatin dosed to an area under the concentration-time curve of 6 every 3 weeks and 99 ( group B ) to receive the same regimen with paclitaxel increased to 225 mg/m2 . Eligibility criteria included WHO performance status 0-2 , documented inoperable stage IIIA and IIIB , IV , no brain metastasis , no prior chemotherapy and adequate renal and hepatic function .","Purpose of our present prospective study was to evaluate the dose response relationship of paclitaxel . RESULTS In group A with 90 evaluable patients , the response rate was 25.6 % ( 6 CR , 17 PR ) whereas in group B with 88 evaluable patients , the response rate was 31.8 % ( 3 CR , 25 PR ) , P = 0.733 . Median time to progression favored the high-dose paclitaxel ( 4.3 vs. 6.4 months , P = 0.044 ) . The median survival was 9.5 months for group A versus 11.4 months for group B ( P = 0.16 ) . The one-year survival was 37 % for group A and 44 % for group B ( P = 0.35 ) . The best prognostic factor for one-year survival was the response rate ( P < 0.0001 ) . With a relative dose intensity of paclitaxel 0.94 in both groups , neurotoxicity ( P = 0.025 ) and leucopenia ( P = 0.038 ) were more pronounced in group B patients . No toxic death was observed .",Ninety-nine patients in group A and ninety-nine patients in group B,Group A received paclitaxel 175 mg/m² in three-hour infusion plus carboplatin at an area under the concentration-time curve of 6 every 3 weeks. Group B received the same regimen with paclitaxel increased to 225 mg/m².,Response rates: 25.6% in group A and 31.8% in group B. Median time to progression: 4.3 months in group A compared to 6.4 months in group B. Median survival: 9.5 months in group A compared to 11.4 months in group B. One-year survival: 37% in group A and 44% in group B. Best prognostic factor for one-year survival: Response rate.,zero_shot_qwen
11413274,"Gabapentin but not vigabatrin is effective in the treatment of acquired nystagmus in multiple sclerosis : How valid is the GABAergic hypothesis ? However , as gabapentin is not a selective GABAergic agent , vigabatrin , a "" pure "" GABAergic medication , and gabapentin , were compared in a single blind cross over trial in eight patients with definite multiple sclerosis . Three out of eight patients dropped out due to adverse effects . Three patients decided to continue gabapentin therapy .",Patients were randomly assigned to begin with gabapentin ( 1200 mg daily ) or vigabatrin ( 2000 mg daily ) .,"Treatment efficacy was based on improving visual acuity and EOG indices ( amplitude or frequency of nystagmus , or both ) by at least 50 % of pretreatment values . In the remaining five patients gabapentin improved symptomatic pendular or gaze evoked jerk nystagmus in four .",Eight patients with definite multiple sclerosis,Gabapentin (1200 mg daily) vs. Vigabatrin (2000 mg daily),"Improvement in visual acuity and EOG indices (amplitude or frequency of nystagmus, or both) by at least 50% of pretreatment values; improvement in symptomatic pendular or gaze-evoked jerk nystagmus in four patients treated with gabapentin; usefulness of vigabatrin in only one out of five patients",zero_shot_qwen
11981150,Effects of clonidine on postoperative nausea and vomiting in breast cancer surgery .,"Our hypothesis is that coinduction with clonidine reduces the incidence of PONV in adult patients undergoing breast cancer surgery . METHODS Sixty-eight women premedicated with midazolam were randomly allocated to coinduction with intravenous clonidine ( group C ) or placebo ( group P ) in this prospective , double-blind study . Anesthesia was standardized ( laryngeal mask airway , fentanyl , propofol , sevoflurane , nitrous oxide , and oxygen ) .","The primary endpoints studied were the number of PONV-free patients and patient satisfaction with respect to PONV . RESULTS Patients in group C had a significantly reduced need for propofol ( P < 0.04 ) and sevoflurane ( P < 0.01 ) and a reduced early need for ketobemidone ( P < 0.04 ) . There were significantly more PONV-free patients in group C compared with group P ( 20 and 11 of 30 , respectively ; P < 0.04 ) . Intraoperative blood pressure , postoperative heart rate , and postoperative blood pressure were all significantly lower in group C compared with group P , but were not considered to be of clinical importance . No negative side effects were recorded . CONCLUSION Coinduction with clonidine significantly increased the number of PONV-free patients after breast cancer surgery with general anesthesia .",Adult female patients undergoing breast cancer surgery,Clonidine vs Placebo,"Number of PONV-free patients, hemodynamic parameters, requirement for propofol and sevoflurane, postoperative need for ketobemidone, intraoperative blood pressure, postoperative heart rate, postoperative blood pressure, patient satisfaction with respect to PONV",zero_shot_qwen
10194485,"High-pressure , rapid-inflation pneumatic compression improves venous hemodynamics in healthy volunteers and patients who are post-thrombotic .","With duplex ultrasound scanning ( ATL-Ultramark 9 , Advanced Tech Laboratory , Bothell , Wash ) , acute DVT was excluded before subject evaluation . Three high-pressure , rapid-compression devices and two standard , low-pressure , slow-inflation compression devices were applied in a random sequence .","Standard and high-pressure , rapid-inflation compression significantly increased the popliteal and femoral vein velocities in healthy and post-thrombotic subjects . High-pressure , rapid-inflation compression produced significantly higher maximal venous velocities in the popliteal and femoral veins in both healthy volunteers and patients who were post-thrombotic as compared with standard compression . Compared with the healthy volunteers , the patients who were post-thrombotic had a significantly attenuated velocity response at both the popliteal and the femoral vein levels . CONCLUSION High-pressure , rapid-inflation pneumatic compression increases popliteal and femoral vein velocity as compared with standard , low-pressure , slow-inflation pneumatic compression . High-pressure , rapid-inflation pneumatic compression may offer additional protection from thrombotic complications on the basis of an improved hemodynamic response , both in healthy volunteers and in patients who were post-thrombotic .",Healthy volunteers; Post-thrombotic patients,"High-pressure, rapid-inflation pneumatic compression devices; Standard, low-pressure, slow-inflation compression devices",Increased popliteal and femoral vein velocities; Attenuated velocity response in post-thrombotic patients,zero_shot_qwen
10213233,"METHODS Of 420 EVS patients with postoperative endophthalmitis , 201 received immediate vitreous tap or biopsy ( without pars plana vitrectomy ) by random assignment and 193 completed 9-12 months of follow-up . RESULTS Of 201 patients undergoing tap or biopsy , 70 ( 35 % ) had needle tap , 127 ( 63 % ) had mechanized biopsy , and 4 ( 2 % ) had initial needle tap that was aborted to mechanized biopsy ( "" abort "" eyes ) .",Microbiologic yields and complication rates of vitreous needle aspiration versus mechanized vitreous biopsy in the Endophthalmitis Vitrectomy Study . PURPOSE To compare the microbiologic yields and complication rates associated with vitreous needle tap and vitreous biopsy in the Endophthalmitis Vitrectomy Study ( EVS ) . Vitreous specimens were obtained by biopsy with a 20-gauge vitrectomy cutting instrument or by needle tap with a 22-27-gauge needle .,"Intraoperative hyphema occurred in 2 tap eyes ( 3 % ) , 3 biopsy eyes ( 2 % ) , and 0 ( 0 % ) abort eyes . Postoperative retinal detachment developed in 8 ( 11 % ) tap eyes , 10 ( 8 % ) biopsy eyes , and 0 ( 0 % ) abort eyes ( not significant ) . Respective rates of culture and gram stain positivity were 69 % and 42 % in tap eyes and 66 % and 41 % in biopsy eyes ( not significant ) . The rate of severe visual loss ( final acuity < 5/200 ) was significantly higher in tap eyes ( 16 eyes , 24 % ) compared with biopsy eyes ( 13 eyes , 11 % ) and abort eyes ( 0 eyes , 0 % ; P = 0.043 ) . The difference was largely explained by the greater proportion of virulent organisms in the tap eyes compared with biopsy eyes . When visual acuity outcome was defined by other thresholds ( 20/40 and 20/100 ) , the difference was not significant .",,,,zero_shot_qwen
11004058,"The effect of systemic lidocaine on pain and secondary hyperalgesia associated with the heat/capsaicin sensitization model in healthy volunteers . UNLABELLED Although effective in neuropathic pain , the efficacy of systemic lidocaine in non-neuropathic pain remains uncertain . We investigated the analgesic effect of systemic lidocaine on the heat/capsaicin sensitization model of experimental pain in 24 volunteers .","Sensitization was produced by heating the skin to 45 degrees C for 5 min , followed by a 30-min application of 0.075 % capsaicin cream , and maintained by periodically reheating the sensitized skin . Subjects received IV lidocaine ( bolus 2 mg/kg , then infusion 3 mg. kg . h ) , or saline for 85 min . Systemic lidocaine showed a selective effect on secondary hyperalgesia .","Systemic lidocaine reduced the area of secondary hyperalgesia to brush , but not to von Frey hair stimulation . Lidocaine did not alter heat pain detection thresholds or painfulness of long thermal stimulation in normal skin . We conclude that , at infusion rates in the low- to mid-antiarrhythmic range , lidocaine has no effect on acute nociceptive pain but does have a limited and selective effect on secondary hyperalgesia . IMPLICATIONS The efficacy of systemic lidocaine in nonneuropathic pain remains uncertain . This study investigates the effect of systemic lidocaine on experimental-induced hyperalgesia in 25 volunteers . Hyperalgesia was induced by using an experimental pain model that uses heat and capsaicin in combination .",24 healthy volunteers,"IV lidocaine (bolus 2 mg/kg, then infusion 3 mg/kg/h), saline","Area of secondary hyperalgesia to brush, heat pain detection thresholds, painfulness of long thermal stimulation",zero_shot_qwen
11352886,"METHODS AND RESULTS Patients undergoing carotid endarterectomy were randomized in a double-blind manner between L-arginine ( n=14 ) , GSNO ( n=14 ) , or placebo ( n=14 ) administered intravenously for 90 minutes , starting 30 minutes after skin closure .","L-arginine and S-nitrosoglutathione reduce embolization in humans . We used this situation to determine the antiplatelet efficacy of L-arginine and S-nitrosoglutathione ( GSNO ) , a physiological nitric oxide donor with possible platelet specificity . All patients were pretreated with aspirin and given heparin during surgery .","BACKGROUND L-Arginine reduces platelet aggregation and adhesion in ex vivo studies , but there is no evidence as yet that it has a therapeutic effect on clinical end points . There were highly significant reductions in the number of Doppler embolic signals in the L-arginine and GSNO groups ; first 4 hours , median ( range ) number of embolic signals , placebo 44.7 ( 6 to 778 ) , L-arginine 9.5 ( 0 to 225 ) , and GSNO 0.8 ( 0 to 8 ) , both P < 0.001 versus control values . The reduction in the signals persisted at the 24-hour recording . CONCLUSIONS Intravenous L-arginine and GSNO attenuate Doppler embolic signals in humans .",Patients undergoing carotid endarterectomy,"L-arginine, S-nitrosoglutathione (GSNO), Placebo",Reduction in the number of Doppler embolic signals; persistence of the reduction at 24-hour recording,zero_shot_qwen
11022066,METHODS One hundred nine consecutive patients were randomly assigned to either surgical ( n=57 ) or endovascular ( n=52 ) treatment .,BACKGROUND AND PURPOSE This prospective study was conducted to compare the outcomes of surgical clipping and endovascular treatment in acute ( < 72 hours ) aneurysmal subarachnoid hemorrhage ( SAH ) . Follow-up angiography was scheduled after clipping and 3 and 12 months after endovascular treatment .,"Outcomes of early endovascular versus surgical treatment of ruptured cerebral aneurysms . RESULTS One year postoperatively , 43/41 ( surgical/endovascular ) patients had good or moderate recovery , 5/4 had severe disability or were in a vegetative state , and 9/7 had died ( NS ) according to intention to treat . Patients with good clinical recovery did not differ in their neuropsychological test scores . Symptomatic vasospasm ( OR 2.47 ; 95 % CI 1.45 to 4.19 ; P < 0.001 ) , poorer Hunt and Hess grade ( OR 2.50 ; 95 % CI 1.31 to 4.75 ; P=0.005 ) , need for permanent shunt ( OR 8.90 ; 95 % CI 1.80 to 44.15 ; P=0.008 ) , and larger size of the aneurysm ( OR 1 . 22 ; 95 % CI 1.02 to 1.45 ; P=0.032 ) independently predicted worsened clinical outcome regardless of the treatment modality . In MRI , superficial brain retraction deficits ( P < 0.001 ) and ischemic lesions in the territory of the ruptured aneurysm ( P=0.025 ) were more frequent in the surgical group . Kaplan-Meier analysis ( mean+/-SD follow-up 39+/-18 months ) revealed equal survival in both treatment groups . No late rebleedings have occurred . The long-term efficacy of endovascular treatment in preventing rebleeding remains open .",One hundred ninety-nine consecutive patients,Surgical clipping; Endovascular treatment,Clinical and neuropsychological outcome at 3 and 12 months after treatment; MRI of the brain at 12 months; Follow-up angiography after clipping and 3 and 12 months after endovascular treatment.,zero_shot_qwen
